EmployeeID,Gender,Age,Department,JobRole,ExperienceYears,Salary,Attrition
E0352,Male,49,HR,HR Intern,12,68391,Yes
E0353,Male,28,Sales,Sales Manager,20,56217,No
E0354,Male,29,Sales,Sales Executive,9,39172,No
E0355,Male,41,Finance,Analyst,7,99076,No
E0356,Female,39,Sales,Sales Manager,23,79022,No
E0357,Male,24,Sales,Sales Executive,14,51105,Yes
E0358,Male,43,Finance,Accountant,11,53978,No
E0359,Male,31,Sales,Sales Manager,0,74823,Yes
E0360,Female,41,Sales,Sales Manager,13,23572,Yes
E0361,Female,43,Sales,Sales Manager,4,99508,No
E0362,Male,39,Sales,Sales Manager,2,83912,Yes
E0363,Male,41,IT,Intern,18,80138,Yes
E0364,Female,25,Sales,Sales Executive,8,93438,No
E0365,Female,38,Finance,Accountant,2,91369,No
E0366,Female,40,Finance,Accountant,19,88428,Yes
E0367,Male,50,Finance,Accountant,24,21952,Yes
E0368,Male,48,IT,Intern,4,42802,No
E0369,Female,47,IT,Intern,16,97400,No
E0370,Male,48,HR,HR Manager,13,91510,Yes
E0371,Male,38,IT,Tech Lead,9,76579,No
E0372,Male,50,Finance,Accountant,2,99188,No
E0373,Male,44,IT,Tech Lead,17,51963,No
E0374,Female,36,Finance,Analyst,18,53807,No
E0375,Female,50,IT,Data Analyst,14,50849,No
E0376,Female,50,HR,HR Manager,3,76600,Yes
E0377,Male,36,HR,HR Executive,22,85111,No
E0378,Female,39,Sales,Sales Executive,14,31233,No
E0379,Male,22,IT,Intern,10,58475,No
E0380,Female,49,IT,Tech Lead,11,54688,Yes
E0381,Male,47,IT,Tech Lead,3,57606,No
E0382,Male,33,Finance,Analyst,24,50397,No
E0383,Male,31,Sales,Sales Executive,20,67706,No
E0384,Female,37,HR,HR Intern,21,19997,Yes
E0385,Male,28,IT,Intern,18,57700,No
E0386,Male,49,IT,Intern,10,24412,No
E0387,Female,33,IT,Software Engineer,24,99069,Yes
E0388,Male,36,IT,Intern,2,38601,No
E0389,Male,40,IT,Software Engineer,25,60490,Yes
E0390,Female,24,HR,HR Intern,9,63431,Yes
E0391,Female,44,Sales,Sales Executive,15,86383,No
E0392,Female,44,Sales,Sales Executive,23,97517,No
E0393,Female,39,Finance,Accountant,23,19137,Yes
E0394,Female,24,HR,HR Intern,14,39830,Yes
E0395,Female,47,Finance,Analyst,6,80188,No
E0396,Female,45,IT,Tech Lead,11,35768,No
E0397,Female,37,Sales,Sales Executive,8,89351,No
E0398,Male,48,IT,Tech Lead,24,75889,Yes
E0399,Female,42,Finance,Finance Manager,24,60955,No
E0400,Male,50,IT,Intern,15,79549,No
E0401,Female,29,Finance,Accountant,14,77911,No
E0402,Male,41,HR,HR Executive,14,83786,No
E0403,Male,42,IT,Tech Lead,6,59926,No
E0404,Male,32,Sales,Sales Executive,23,79807,Yes
E0405,Male,23,Sales,Sales Manager,11,46511,No
E0406,Female,46,Sales,Sales Manager,0,48740,No
E0407,Male,48,IT,Software Engineer,6,44138,No
E0408,Female,22,IT,Tech Lead,2,57019,No
E0409,Female,28,Sales,Sales Manager,24,69459,No
E0410,Male,31,Finance,Finance Manager,8,99176,No
E0411,Male,33,Sales,Sales Executive,6,37422,No
E0412,Male,25,Finance,Accountant,25,46934,No
E0413,Female,33,Finance,Analyst,7,59511,Yes
E0414,Male,48,HR,HR Manager,24,32450,No
E0415,Female,27,HR,HR Intern,25,67185,No
E0416,Female,49,Finance,Finance Manager,16,54510,Yes
E0417,Male,47,Finance,Finance Manager,22,73793,No
E0418,Female,39,HR,HR Manager,23,49235,No
E0419,Male,25,IT,Intern,20,49230,No
E0420,Male,26,IT,Intern,12,25381,No
E0421,Male,28,Finance,Analyst,16,53370,No
E0422,Female,38,Finance,Finance Manager,21,66160,Yes
E0423,Male,33,Finance,Analyst,17,56836,No
E0424,Male,35,IT,Intern,2,64896,No
E0425,Male,27,IT,Data Analyst,11,65639,Yes
E0426,Male,26,IT,Intern,19,98087,Yes
E0427,Male,42,Finance,Analyst,20,29068,No
E0428,Female,48,IT,Data Analyst,14,85306,Yes
E0429,Male,48,Sales,Sales Manager,17,90041,No
E0430,Female,47,Finance,Analyst,12,62472,No
E0431,Male,24,HR,HR Intern,15,87892,Yes
E0432,Female,37,Finance,Finance Manager,16,67695,No
E0433,Male,38,Finance,Accountant,4,90426,No
E0434,Male,36,HR,HR Executive,5,63447,No
E0435,Female,34,Finance,Accountant,24,42510,No
E0436,Female,36,HR,HR Intern,12,36673,No
E0437,Female,48,IT,Data Analyst,22,23966,Yes
E0438,Female,44,IT,Tech Lead,19,65674,No
E0439,Male,39,HR,HR Executive,20,63603,No
E0440,Female,38,IT,Software Engineer,20,89472,No
E0441,Female,25,HR,HR Manager,4,20759,No
E0442,Male,45,Sales,Sales Manager,16,98551,Yes
E0443,Male,34,HR,HR Manager,15,75117,No
E0444,Male,27,Finance,Accountant,24,43207,Yes
E0445,Male,35,HR,HR Manager,2,80378,Yes
E0446,Male,41,Sales,Sales Executive,22,47774,Yes
E0447,Female,50,HR,HR Intern,13,26317,No
E0448,Female,23,Sales,Sales Executive,19,97327,No
E0449,Female,48,IT,Data Analyst,1,43190,No
E0450,Male,39,HR,HR Executive,2,52967,No
E0451,Male,41,HR,HR Manager,12,20414,No
E0452,Female,23,HR,HR Executive,5,66896,Yes
E0453,Male,34,Finance,Analyst,1,73016,No
E0454,Male,28,Finance,Analyst,25,62757,No
E0455,Male,30,IT,Intern,19,85838,No
E0456,Male,37,Finance,Accountant,6,41948,Yes
E0457,Female,50,HR,HR Intern,2,39195,No
E0458,Female,41,Sales,Sales Executive,13,20043,Yes
E0459,Male,23,IT,Intern,5,26958,No
E0460,Female,33,HR,HR Executive,8,27771,No
E0461,Male,31,Sales,Sales Manager,1,57890,No
E0462,Male,29,Sales,Sales Manager,1,91943,Yes
E0463,Male,22,Sales,Sales Executive,6,76529,Yes
E0464,Female,31,IT,Data Analyst,2,18035,No
E0465,Male,32,Finance,Analyst,2,72699,Yes
E0466,Female,33,HR,HR Executive,21,44691,No
E0467,Male,36,HR,HR Manager,23,18831,No
E0468,Male,40,Finance,Analyst,14,99016,No
E0469,Female,28,HR,HR Manager,23,33192,No
E0470,Male,48,Sales,Sales Executive,23,93348,No
E0471,Male,31,HR,HR Manager,9,18953,Yes
E0472,Male,43,HR,HR Manager,10,26364,No
E0473,Male,32,Sales,Sales Manager,13,57738,Yes
E0474,Male,49,Sales,Sales Executive,8,23087,No
E0475,Male,31,HR,HR Intern,4,75464,No
E0476,Male,44,Finance,Finance Manager,19,50122,No
E0477,Female,37,HR,HR Manager,18,24688,No
E0478,Female,40,Finance,Finance Manager,5,89725,No
E0479,Female,28,Sales,Sales Manager,10,74450,Yes
E0480,Female,41,Sales,Sales Executive,19,56379,No
E0481,Female,24,Sales,Sales Manager,13,29315,No
E0482,Male,31,HR,HR Manager,2,25565,Yes
E0483,Female,45,HR,HR Executive,24,85962,No
E0484,Female,31,Sales,Sales Manager,1,39609,No
E0485,Male,32,HR,HR Executive,14,51523,No
E0486,Female,31,IT,Software Engineer,17,25792,Yes
E0487,Female,44,IT,Intern,7,79635,Yes
E0488,Female,35,Finance,Analyst,19,80643,Yes
E0489,Male,45,HR,HR Intern,23,28067,No
E0490,Female,44,IT,Software Engineer,0,39671,No
E0491,Female,24,Sales,Sales Manager,23,53639,No
E0492,Male,38,Sales,Sales Manager,24,30965,Yes
E0493,Female,35,HR,HR Intern,3,34643,No
E0494,Female,33,IT,Intern,23,23620,Yes
E0495,Female,41,IT,Software Engineer,21,71221,Yes
E0496,Male,41,IT,Software Engineer,2,86167,No
E0497,Female,27,Sales,Sales Manager,23,67754,No
E0498,Male,50,HR,HR Manager,20,63086,Yes
E0499,Male,25,Finance,Analyst,14,52710,No
E0500,Male,25,IT,Software Engineer,15,44149,No
E0501,Male,49,IT,Tech Lead,12,41903,No
E0502,Male,28,IT,Intern,2,60767,No
E0503,Male,22,Finance,Accountant,23,51650,No
E0504,Female,44,Sales,Sales Executive,7,67296,No
E0505,Female,39,IT,Software Engineer,18,92200,No
E0506,Male,42,HR,HR Manager,9,87756,No
E0507,Male,34,HR,HR Intern,23,62960,No
E0508,Female,34,HR,HR Executive,23,39316,No
E0509,Male,48,Sales,Sales Executive,19,29447,No
E0510,Male,30,IT,Intern,16,89254,Yes
E0511,Female,23,Finance,Finance Manager,12,59685,No
E0512,Male,32,Finance,Finance Manager,3,83253,No
E0513,Female,29,Finance,Analyst,14,89684,No
E0514,Female,34,Sales,Sales Manager,2,47608,No
E0515,Female,34,Sales,Sales Manager,16,54545,No
E0516,Female,32,IT,Software Engineer,2,62791,No
E0517,Female,30,Sales,Sales Manager,15,71861,No
E0518,Male,38,IT,Software Engineer,15,71993,Yes
E0519,Female,38,Finance,Analyst,24,95374,No
E0520,Male,39,Finance,Accountant,6,96372,No
E0521,Male,28,Finance,Analyst,13,65438,Yes
E0522,Female,22,HR,HR Intern,17,48663,No
E0523,Male,30,Sales,Sales Manager,6,93676,Yes
E0524,Female,22,Finance,Accountant,25,24726,No
E0525,Male,38,HR,HR Executive,11,59318,Yes
E0526,Female,47,IT,Tech Lead,15,82708,No
E0527,Male,49,HR,HR Intern,11,76492,Yes
E0528,Female,49,HR,HR Manager,6,35261,Yes
E0529,Male,37,Finance,Accountant,16,98074,No
E0530,Female,38,Finance,Analyst,25,63240,No
E0531,Female,37,Finance,Accountant,21,79968,No
